单词	发音	词性 中文释义	英文释义: 示例短语	补充内容	笔记
earth	/ɜːθ/	n. 地球	globe: on the earth	【联想】earthquake 地震，earthy 泥土的	
earth·quake	/ˈɜːθkweɪk/	n. 地震	quake: an earthquake disaster	【联想】earth 地球，quake 震动	
east	/iːst/	n. 东方	eastern direction: in the east	【同】eastern direction 【反】west 【联想】eastern 东方的	
Eas·ter	/ˈiːstər/	n. 复活节	christian holiday: Easter eggs	【同】Christian holiday 【联想】名词 Christ 基督	
east·ern	/ˈiːstən/	a. 东方的	oriental: eastern culture	【联想】east 东方	
eas·y	/ˈiːzi/	a. 容易的	simple: an easy task	【反】hard 【联想】easily 容易地，ease 安逸【辨析】easy 容易(不费力)；simple 简单(不复杂)	
eat	/iːt/	v. (ate, eaten) 吃	consume: eat breakfast		
e·col·o·gy	/iˈkɒlədʒi/	n. 生态学	study of environment: marine ecology	【词根】eco 'house' + logy 'study'【同】study of environment 【联想】ecological 生态的	
edge	/edʒ/	n. 边缘	border: the edge of the table	【同】BORDER, boundary, extremity, fringe, margin, side【词根】edge 'blade'	
e·di·tion	/ɪˈdɪʃən/	n. 版本	version: a new edition	【同】version 【联想】edit 编辑【词根】edit 'give out' + -ion	
ed·i·tor	/ˈedɪtər/	n. 编辑	person who edits: a newspaper editor	【同】person who edits 【联想】edit 编辑，edition 版本【词根】edit 'give out' + -or	
ed·u·cate	/ˈedʒukeɪt/	vt. 教育	teach: educate children	【同】teach 【联想】education 教育，educator 教育者【词根】e- 'out' + duc 'lead' + -ate	
ed·u·ca·tion	/ˌedʒʊˈkeɪʃən/	n. 教育	schooling: higher education	【词组】receive/get an education, higher education 【联想】educate 教育【词根】e- 'out' + duc 'lead' + -ation	
ed·u·ca·tor	/ˈedʒukeɪtər/	n. 教育者	teacher: a famous educator	【联想】educate 教育，education 教育【词根】e- 'out' + duc 'lead' + -ator	
ef·fect	/ɪˈfekt/	n. 影响	influence: have an effect on	【备注】名词，对应动词 affect【同】influence, impact【词组】have an effect on, take effect, side effect【联想】形近 affect 影响【词根】ef- 'out' + fect 'do'【辨析】result 结果；effect 效果/影响	
ef·fort	/ˈefət/	n. 努力	attempt: make an effort	【词组】make an effort to do something【同】ATTEMPT, try【词根】ef- 'out' + fort 'strength'	
egg	/eɡ/	n. 鸡蛋	oval food: boiled egg	【联想】eggplant 茄子	
egg·plant	/ˈeɡplɑːnt/	n. 茄子	purple vegetable: stir-fried eggplant	【同】purple vegetable 【联想】egg 蛋，plant 植物	
eight	/eɪt/	num. 八	number 8: at eight o'clock	【联想】eighth 第八，eighteen 十八	
ei·ther	/ˈaɪðər/	pron. 也	any one: either...or...		
el·der	/ˈeldər/	a. & n. 年长的；长辈	older; senior: elder sister	【例句】Her elder son is at college.【同】older, senior【联想】同义 older 更老，elderly 年长的	
e·lect	/iˈlekt/	vt. 选举	vote: elect a president	【联想】election 选举【词根】e- 'out' + lect 'choose'	
e·lec·tric	/iˈlektrɪk/	a. 用电的，电动的	powered: electric light	【词组】electric guitar【同】powered by electricity【联想】electricity 电，electrical 电的【词根】electr 'amber' + -ic	
e·lec·tri·cal	/iˈlektrɪkəl/	a. 电气的，与电有关的	related to electricity: electrical equipment	【同】related to electricity 【联想】electric 电的，electricity 电【词根】electr 'amber' + -ical	
e·lec·tri·ci·ty	/ˌelɪkˈtrɪsəti/	n. 电力	power: generate electricity	【联想】electric 电的【词根】electr 'amber' + -icity	
e·lec·tron·ic	/ˌelekˈtrɒnɪk/	a. 电子的	using electricity: electronic products	【同】electric-powered. • electronic magazines 【联想】electron 电子，electric 电的【词根】electr 'amber' + -onic	
el·e·gant	/ˈelɪɡənt/	a. 优雅的	graceful: an elegant lady	【同】graceful 【联想】elegance 优雅【词根】e- 'out' + leg 'choose' + -ant	
el·e·phant	/ˈelɪfənt/	n. 大象	large mammal: a wild elephant		
e·lev·en	/ɪˈlevən/	num. 十一	11: eleven students	【同】11	
else	/els/	ad. 其他的	other: something else		
e-mail	/ˈiːmeɪl/	n. 电子邮件	email: send an e-mail	【联想】mail 邮件	
em·bar·rass	/ɪmˈbærəs/	vt. 使尴尬	mortify: embarrass oneself	【联想】embarrassed 尴尬的，embarrassment 尴尬【词根】em- 'in' + barr 'bar' + -ass	
em·bar·rassed	/ɪmˈbærəst/	a. 尴尬的	awkward: feel embarrassed	【词组】be/feel embarrassed about something【联想】embarrass 使尴尬	
em·bas·sy	/ˈembəsi/	n. 大使馆	diplomatic mission: the Chinese embassy	【同】diplomatic mission	
e·mer·gen·cy	/ɪˈmɜːdʒənsi/	n. 紧急情况	urgent situation: in an emergency	【同】urgent situation【词根】e- 'out' + merg 'sink' + -ency【联想】emerge 浮现	
em·pe·ror	/ˈempərər/	n. 皇帝	ruler: an ancient emperor	【同】RULER, king 【联想】empire 帝国	
empire	/ˈempaɪər/	n. 帝国	kingdom: the Roman Empire	【同】KINGDOM, realm 【联想】emperor 皇帝	
em·ploy	/ɪmˈplɔɪ/	vt. 雇佣	hire: employ workers	【同】hire 【词根】em- 'in' + ploy 'fold'【联想】employment 就业，employee 雇员	
emp·ty	/ˈempti/	a. 空的	unfilled: an empty bottle	【反】full	
en·cour·age	/ɪnˈkʌrɪdʒ/	vt. 鼓励	inspire: encourage sb. to do sth.	【同】inspire, motivate 【联想】词根 courage 勇气，encouragement 鼓励【词根】en- 'make' + courage 'courage'	
en·cour·age·ment	/ɪnˈkʌrɪdʒmənt/	n. 鼓励	support: give encouragement	【联想】encourage 鼓励【词根】en- 'make' + courage 'courage' + -ment	
end	/end/	n. 结束	finish: at the end of	【联想】ending 结尾，endless 无尽的【词组】in the end 最终，at the end of 在…末尾，by the end of 到…末【辨析】complete 完成(正式)；finish 完成(doing)；end 结束	
end·ing	/ˈendɪŋ/	n. 结尾	conclusion: a happy ending	【联想】end 结束	
end·less	/ˈendləs/	a. 无尽的	unending: endless trouble	【联想】end 结束	
en·e·my	/ˈenəmi/	n. 敌人	foe: a common enemy	【反】friend	
en·er·get·ic	/ˌenəˈdʒetɪk/	a. 精力充沛的	active: an energetic person	【同】active, lively, dynamic 【联想】energy 能量	
en·er·gy	/ˈenədʒi/	n. 能量	power: solar energy	【同】power 【联想】energetic 精力充沛的【词根】en- 'in' + erg 'work' + -y	
en·gine	/ˈendʒɪn/	n. 发动机	motor: car engine	【联想】engineer 工程师【词根】engine 'skill'	
en·gi·neer	/ˌendʒɪˈnɪər/	n. 工程师	technical professional: a civil engineer	【同】technical professional 【联想】词根 engine 发动机【词根】engine 'skill' + -er	
En·gland	/ˈɪŋɡlənd/	n. 英格兰	Britain: in England	【联想】名词 English 英语	
En·glish	/ˈɪŋɡlɪʃ/	n. 英语	language of england: English class	【同】language of England 【联想】名词 England 英国	
En·glish·man	/ˈɪŋɡlɪʃmən/	n. 英国人	Briton: an Englishman	【联想】名词 English 英语，名词 England 英国	
en·joy	/ɪnˈdʒɔɪ/	vt. 享受	like: enjoy oneself	【同】like 【联想】enjoyable 愉快的【词根】en- 'make' + joy 'joy'	
en·joy·a·ble	/ɪnˈdʒɔɪəbəl/	a. 愉快的	pleasant: an enjoyable trip	【联想】enjoy 享受【词根】enjoy 'enjoy' + -able	
en·large	/ɪnˈlɑːdʒ/	v. 扩大	extend: enlarge a photo	【同】extend, expand, grow 【联想】large 大的【词根】en- 'make' + large 'large'	
e·nough	/ɪˈnʌf/	a. 足够的	sufficient: enough money	【同】sufficient, adequate, ample 【反】insufficient, lacking	
en·qui·ry	/ɪnˈkwaɪəri/	n. 查询	question: make an enquiry	【同】question, query. 是 inquiry 的变体 【联想】inquire 询问	
en·ter	/ˈentər/	v. 进入	go into: enter a room	【同】go into 【反】exit, leave 【联想】entrance 入口	
en·ter·prise	/ˈentəpraɪz/	n. 企业	business: a private enterprise	【同】business, company, firm 【词根】enter 'enter' + prise 'take'【联想】词根 enter 进入，prise 拿	
en·ter·tain·ment	/entəˈteɪnmənt/	n. 娱乐	amusement: entertainment industry	【词根】enter 'enter' + tain 'hold' + -ment【联想】entertain 娱乐	
en·thu·si·as·m	/ɪnˈθjuːziæzəm/	n. 热情	eagerness: show enthusiasm for	【同】EAGERNESS, keenness, ardour, fervour, passion, zeal 【联想】enthusiastic 热情的【词根】en- 'in' + thus 'god' + -iasm	
en·thu·si·as·tic	/ɪnˌθjuːziˈæstɪk/	a. 热情的	eager: be enthusiastic about	【词组】be enthusiastic about something【同】EAGER, keen, avid, passionate【词根】en- 'in' + thus 'god' + -iastic【联想】enthusiasm 热情	
en·tire	/ɪnˈtaɪər/	a. 整个的	whole: the entire family	【同】whole, complete 【联想】entirely 完全地【词根】en- 'in' + tire 'whole'	
en·trance	/ˈentrəns/	n. 入口	entry: the entrance to the park	【同】ENTRY, way in, access 【反】exit 【联想】enter 进入	
en·try	/ˈentri/	n. 条目	item: make an entry	【同】entrance, ITEM, record 【联想】enter 进入【词根】entr 'enter' + -y	
en·ve·lope	/ˈenvələʊp/	n. 信封	paper cover: an envelope letter	【词根】en- 'in' + velop 'wrap'	
en·vi·ron·ment	/ɪnˈvaɪrənmənt/	n. 环境	surroundings: protect the environment	【词根】en- 'in' + viron 'circle' + -ment【联想】environmental 环境的	
en·vy	/ˈenvi/	vt. 嫉妒	be jealous: feel envy towards	【同】be jealous of 【联想】envious 嫉妒的	
e·qual	/ˈiːkwəl/	a. 相等的	same: be equal to	【同】same.【词组】 be equal to 【联想】equality 平等【词根】equ 'equal' + -al	
e·qual·i·ty	/iˈkwɒləti/	n. 平等	fairness: equality of opportunity	【联想】equal 平等的【词根】equ 'equal' + -ality	
e·quip	/ɪˈkwɪp/	vt. 配备	furnish: equip with tools	【词组】be equipped with【联想】equipment 设备【词根】equip 'equip'	
e·quip·ment	/ɪˈkwɪpmənt/	n. 设备	apparatus: medical equipment	【同】APPARATUS 【联想】equip 配备【词根】equip 'equip' + -ment	
e·rase	/ɪˈreɪz/	vt. 擦除	rub out: erase a mistake	【同】rub out 【联想】eraser 橡皮擦	
e·ras·er	/ɪˈreɪzər/	n. 橡皮擦	rubber: a rubber eraser	【同】rubber(英) 【联想】erase 擦除	
er·ror	/ˈerər/	n. 错误	mistake: make an error	【同】mistake【词根】err 'wander' + -or【辨析】error 错误(正式)；mistake 错误(常用)	
e·rupt	/ɪˈrʌpt/	vi. （ 火山）喷发	burst out: a volcano erupts	【词根】e- 'out' + rupt 'break'【联想】eruption 爆发	
es·cape	/ɪˈskeɪp/	v. 逃脱	run away: escape from prison	【同】RUN AWAY【词根】es- 'out' + cape 'cloak'	
es·pe·cial·ly	/ɪˈspeʃəli/	ad. 特别地	mainly: especially important	【同】mainly, mostly. Teenagers can get bored, especially in small towns and villages 【联想】special 特别的，especial 特别的	
es·say	/ˈeseɪ/	n. 散文	short written piece: write an essay	【同】short written piece【词根】es- 'out' + say 'say'	
Eu·rope	/ˈjʊərəp/	n. 欧洲	european continent: travel in Europe	【同】European continent 【联想】名词 European 欧洲人	
Eu·ro·pe·an	/ˌjʊərəˈpiːən/	n. 欧洲人	person from europe: European countries	【同】person from Europe 【联想】名词 Europe 欧洲	
e·val·u·ate	/ɪˈvæljueɪt/	vt. 评估	assess: evaluate performance	【同】assess【词根】e- 'out' + val 'worth' + -uate【联想】evaluation 评估，value 价值	
eve	/iːv/	n. 前夜	vigil: on New Year's Eve	【联想】evening 傍晚，New Year's Eve 除夕	
e·ven	/ˈiːvən/	ad. 甚至	still: even better	【备注】表示强调【词组】even though【反】odd	
eve·ning	/ˈiːvnɪŋ/	n. 晚上	night: in the evening	【联想】eve 前夕，night 夜晚	
e·vent	/ɪˈvent/	n. 事件	occurrence: an important event	【词根】e- 'out' + vent 'come'	
e·ven·tu·al·ly	/ɪˈventʃuəli/	ad. 最终	finally: eventually succeed	【同】finally 【联想】eventual 最终的【词根】e- 'out' + vent 'come' + -ually	
ev·er	/ˈevər/	ad. 曾经	at any time: ever since		
ev·ery	/ˈevri/	a. 每个	each: every day	【同】EACH 【联想】everybody 每人，everything 一切	
ev·ery·bod·y	/ˈevriˌbɒdi/	pron. 每个人	all people: greet everybody	【联想】everyone 每人，everything 一切	
ev·ery·day	/ˈevrideɪ/	a. 日常的	daily: everyday life	【联想】every 每个，day 天	
ev·ery·one	/ˈevriwʌn/	pron. 每个人	all people: help everyone	【联想】everybody 每人	
ev·ery·thing	/ˈevriθɪŋ/	pron. 一切	all: do everything	【反】nothing 【联想】everyone 每人，everywhere 到处	
ev·ery·where	/ˈevriweər/	ad. 到处	all over: look everywhere	【联想】everyone 每人，everything 一切	
ev·i·dence	/ˈevɪdəns/	n. 证据	proof: provide evidence	【同】proof 【联想】evident 明显的【词根】e- 'out' + vid 'see' + -ence	
ev·i·dent	/ˈevɪdənt/	a. 明显的	obvious: it is evident that	【同】obvious, clear 【联想】evidence 证据【词根】e- 'out' + vid 'see' + -ent	
ev·o·lu·tion	/ˌiːvəˈluːʃən/	n. 进化	gradual development: the theory of evolution	【词根】e- 'out' + volut 'roll' + -ion【同】gradual development 【联想】evolve 进化	
ex·act	/ɪɡˈzækt/	a. 精确的	precise: the exact time	【同】precise, accurate, correct 【词根】ex- 'out' + act 'do'【联想】exactly 正确地	
ex·act·ly	/ɪɡˈzæktli/	ad. 正确地	correctly: exactly right	【联想】exact 精确的【词根】ex- 'out' + act 'do' + -ly	
ex·am	/ɪɡˈzæm/	n. 考试	test: take an exam	【同】test, examination 【联想】全写 examination 考试【词根】ex- 'out' + am 'take'	
ex·am·i·na·tion	/ɪɡˌzæmɪˈneɪʃən/	n. 考试	test: physical examination	【联想】exam 考试【词根】ex- 'out' + amin 'test' + -ation	
ex·am·ine	/ɪɡˈzæmɪn/	vt. 检查	inspect: examine a patient	【同】inspect 【联想】examination 考试【词根】ex- 'out' + amine 'test'	
ex·am·ple	/ɪɡˈzɑːmpəl/	n. 示例	instance: for example	【词组】for example【词根】ex- 'out' + ample 'take'	
ex·cel·lent	/ˈeksələnt/	a. 优秀的	outstanding: an excellent student	【同】extremely good, outstanding 【联想】excellence 卓越【词根】ex- 'out' + cell 'rise' + -ent	
ex·cept	/ɪkˈsept/	prep. 除了	excluding: except for	【词根】ex- 'out' + cept 'take'【联想】exception 例外	
ex·change	/ɪksˈtʃeɪndʒ/	vt. 交换	swap: exchange gifts	【词根】ex- 'out' + change 'change'	
ex·cite	/ɪkˈsaɪt/	vt. 激动	thrill: excite the audience	【词根】ex- 'out' + cite 'summon'【联想】excited 兴奋的，exciting 令人兴奋的，excitement 兴奋	
ex·cit·ed	/ɪkˈsaɪtɪd/	a. 激动的	thrilled: be excited about	【同】thrilled 【联想】excite 使兴奋【词根】ex- 'out' + cite 'summon' + -ed	
ex·cit·ing	/ɪkˈsaɪtɪŋ/	a. 激动人心的	thrilling: an exciting game	【联想】excite 使兴奋【词根】ex- 'out' + cite 'summon' + -ing	
ex·cuse	/ɪkˈskjuːz/	vt. 借口	pretext: make an excuse	【例句】Excuse me.【词根】ex- 'out' + cuse 'cause'	
ex·er·cise	/ˈeksəsaɪz/	n. 锻炼	workout: do exercise	【词组】do some exercise【词根】ex- 'out' + erc 'fence' + -ise【辨析】practice 练习(技能)；exercise 锻炼	
ex·hi·bi·tion	/ˌeksɪˈbɪʃən/	n. 展览	display: an art exhibition	【同】display, show 【联想】exhibit 展览【词根】ex- 'out' + hibit 'hold' + -ion	
ex·ist	/ɪɡˈzɪst/	vi. 存在	be real: exist in nature	【联想】existence 存在【词根】ex- 'out' + ist 'stand'	
ex·ist·ence	/ɪɡˈzɪstəns/	n. 存在	state of being: come into existence	【联想】exist 存在【词根】ex- 'out' + ist 'stand' + -ence	
ex·it	/ˈeksɪt/	n. 出口	way out: the exit sign	【反】entrance 【联想】反义 entrance 入口【词根】ex- 'out' + it 'go'	
ex·pand	/ɪkˈspænd/	v. 扩展	enlarge: expand a business	【同】make or become larger【词根】ex- 'out' + pand 'spread'【联想】expansion 扩张	
ex·pect	/ɪkˈspekt/	vt. 期望	anticipate: expect to do sth.	【同】anticipate【词根】ex- 'out' + spect 'look'【联想】expectation 期待【辨析】expect 期望(有根据)；hope 希望(可能)；wish 祝愿(难实现)	
ex·pec·ta·tion	/ˌekspekˈteɪʃən/	n. 期待	anticipation: meet expectations	【联想】expect 期望【词根】ex- 'out' + pect 'look' + -ation	
ex·pense	/ɪkˈspens/	n. 开销	cost: travel expenses	【同】cost【词根】ex- 'out' + pens 'weigh' + -e【联想】expensive 昂贵的，词根 spend 花费	
ex·pen·sive	/ɪkˈspensɪv/	a. 昂贵的	costly: an expensive car	【同】not cheap 【联想】expense 花费【词根】ex- 'out' + pens 'weigh' + -ive	
ex·pe·ri·ence	/ɪkˈspɪəriəns/	n. 经验	know-how: work experience	【联想】形近 experiment 实验；experienced 有经验的【词根】ex- 'out' + peri 'try' + -ence	
ex·per·i·ment	/ɪkˈsperɪmənt/	n. 实验	test: do an experiment	【词组】do/carry out an experiment【联想】形近 experience 经验【词根】ex- 'out' + peri 'try' + -ment	
ex·pert	/ˈekspɜːt/	n. 专家	specialist: an expert in physics	【同】SPECIALIST【词根】ex- 'out' + pert 'try'	
ex·plain	/ɪkˈspleɪn/	vt. 解释	describe: explain a problem	【同】DESCRIBE, ACCOUNT FOR【词根】ex- 'out' + plain 'smooth'【联想】explanation 解释	
ex·pla·na·tion	/ˌekspləˈneɪʃən/	n. 解释	description: give an explanation	【联想】explain 解释【词根】ex- 'out' + plan 'smooth' + -ation	
